s1.age,s1.zipcode,s1.gender,base,smokers,drinkers
18,30309,f,11,2,7
19,30309,f,41,4,12
20,30309,f,41,1,8
21,30309,f,75,8,29
22,30309,f,83,3,27
23,30309,f,87,7,33
24,30309,f,104,5,50
25,30309,f,118,9,53
26,30309,f,118,5,43
27,30309,f,124,7,44
28,30309,f,159,13,67
29,30309,f,158,8,54
30,30309,f,115,6,48
31,30309,f,106,6,36
32,30309,f,115,4,42
33,30309,f,92,6,43
34,30309,f,100,7,35
35,30309,f,81,5,29
36,30309,f,80,3,29
37,30309,f,88,7,42
38,30309,f,97,2,37
39,30309,f,83,2,29
40,30309,f,90,3,43
41,30309,f,70,4,33
42,30309,f,59,1,16
43,30309,f,73,2,32
44,30309,f,76,3,26
45,30309,f,69,3,20
46,30309,f,61,2,23
47,30309,f,54,6,20
48,30309,f,53,1,24
49,30309,f,67,6,28
50,30309,f,51,2,26
51,30309,f,41,2,15
52,30309,f,48,3,18
53,30309,f,41,3,20
54,30309,f,35,1,12
55,30309,f,33,2,18
56,30309,f,32,2,14
57,30309,f,25,1,10
58,30309,f,35,2,11
59,30309,f,29,1,11
60,30309,f,18,1,7
61,30309,f,19,2,8
62,30309,f,14,0,1
63,30309,f,3,0,1
64,30309,f,10,1,5
65,30309,f,7,0,1
18,30309,m,19,0,4
19,30309,m,54,6,17
20,30309,m,65,5,22
21,30309,m,123,4,34
22,30309,m,177,10,54
23,30309,m,188,10,68
24,30309,m,217,15,77
25,30309,m,212,19,73
26,30309,m,234,18,82
27,30309,m,305,24,110
28,30309,m,292,17,96
29,30309,m,306,19,88
30,30309,m,247,12,80
31,30309,m,268,22,81
32,30309,m,252,7,66
33,30309,m,235,10,77
34,30309,m,218,10,71
35,30309,m,186,4,53
36,30309,m,212,14,70
37,30309,m,193,10,69
38,30309,m,212,5,62
39,30309,m,169,6,53
40,30309,m,140,8,52
41,30309,m,140,3,35
42,30309,m,122,7,36
43,30309,m,110,4,36
44,30309,m,94,6,31
45,30309,m,102,4,29
46,30309,m,95,10,34
47,30309,m,76,2,25
48,30309,m,106,4,31
49,30309,m,77,7,29
50,30309,m,55,1,19
51,30309,m,61,2,16
52,30309,m,49,2,20
53,30309,m,42,3,11
54,30309,m,45,3,15
55,30309,m,38,0,11
56,30309,m,44,3,17
57,30309,m,37,1,10
58,30309,m,39,1,16
59,30309,m,22,0,8
60,30309,m,12,2,5
61,30309,m,16,1,7
62,30309,m,15,0,5
63,30309,m,6,0,3
64,30309,m,3,0,1
65,30309,m,4,0,1
18,2110,f,20,3,12
19,2110,f,78,10,32
20,2110,f,84,6,39
21,2110,f,103,4,43
22,2110,f,177,9,74
23,2110,f,162,4,74
24,2110,f,199,6,85
25,2110,f,179,8,76
26,2110,f,195,15,83
27,2110,f,207,12,97
28,2110,f,196,15,84
29,2110,f,158,10,68
30,2110,f,156,7,57
31,2110,f,150,15,69
32,2110,f,123,6,55
33,2110,f,149,6,57
34,2110,f,112,4,42
35,2110,f,110,7,47
36,2110,f,123,9,59
37,2110,f,109,10,46
38,2110,f,135,6,59
39,2110,f,120,10,63
40,2110,f,121,7,49
41,2110,f,107,13,49
42,2110,f,98,4,38
43,2110,f,109,11,44
44,2110,f,115,10,51
45,2110,f,113,6,39
46,2110,f,83,3,37
47,2110,f,101,7,45
48,2110,f,94,9,44
49,2110,f,88,6,39
50,2110,f,89,6,39
51,2110,f,96,4,43
52,2110,f,89,7,33
53,2110,f,78,5,28
54,2110,f,71,1,31
55,2110,f,65,1,21
56,2110,f,53,1,23
57,2110,f,42,2,15
58,2110,f,35,1,14
59,2110,f,41,0,15
60,2110,f,32,1,16
61,2110,f,25,0,10
62,2110,f,27,1,8
