"age","male","female"
"18","361","272"
"19","718","427"
"20","1006","483"
"21","1207","744"
"22","1636","935"
"23","2063","1091"
"24","2253","1218"
"25","2398","1277"
"26","2442","1326"
"27","2300","1212"
"28","2372","1252"
"29","2082","1127"
"30","1936","978"
"31","1757","933"
"32","1523","838"
"33","1594","900"
"34","1464","836"
"35","1329","782"
"36","1299","788"
"37","1248","771"
"38","1357","846"
"39","1133","752"
"40","1079","738"
"41","878","654"
"42","860","612"
"43","839","635"
"44","829","617"
"45","749","601"
"46","657","522"
"47","609","522"
"48","726","598"
"49","556","539"
"50","526","487"
"51","428","458"
"52","420","420"
"53","368","450"
"54","365","341"
"55","293","322"
"56","284","314"
"57","241","253"
"58","225","260"
"59","173","206"
"60","157","183"
"61","128","129"
"62","93","105"
"63","74","85"
"64","48","64"
"65","48","73"
