id,scrape,zipcode,radius,age,gender,result,url,created_at
1,base,30309,10,18,f,11,http://www.plentyoffish.com/advancedsearch.aspx?smarts=&state=&thnicity=&wantchildrem=&income=&height=&viewtype=&smoke=nil&cmdSearch=Go+Fishing&heightb=&starsign=&country=1&MinAge=18&iama=m&religion=&searchtype=&City=30309&drugs=&MaxAge=18&seekinga=f&haschildren=&body=&interests=&drink=&miles=10,2009-01-22T00:00:18-05:00
2,base,30309,10,19,f,41,http://www.plentyoffish.com/advancedsearch.aspx?state=&smarts=&wantchildrem=&thnicity=&height=&income=&smoke=nil&viewtype=&heightb=&cmdSearch=Go+Fishing&iama=m&MinAge=19&country=1&starsign=&religion=&seekinga=f&MaxAge=19&drugs=&City=30309&searchtype=&haschildren=&interests=&body=&miles=10&drink=,2009-01-22T00:00:19-05:00
3,base,30309,10,20,f,40,http://www.plentyoffish.com/advancedsearch.aspx?smarts=&state=&thnicity=&wantchildrem=&income=&height=&viewtype=&smoke=nil&cmdSearch=Go+Fishing&heightb=&starsign=&country=1&MinAge=20&iama=m&religion=&searchtype=&City=30309&drugs=&MaxAge=20&seekinga=f&haschildren=&body=&interests=&drink=&miles=10,2009-01-22T00:00:20-05:00
4,base,30309,10,21,f,76,http://www.plentyoffish.com/advancedsearch.aspx?state=&smarts=&wantchildrem=&thnicity=&height=&income=&smoke=nil&viewtype=&heightb=&cmdSearch=Go+Fishing&iama=m&MinAge=21&country=1&starsign=&religion=&seekinga=f&MaxAge=21&drugs=&City=30309&searchtype=&haschildren=&interests=&body=&miles=10&drink=,2009-01-22T00:00:21-05:00
5,base,30309,10,22,f,83,http://www.plentyoffish.com/advancedsearch.aspx?smarts=&state=&thnicity=&wantchildrem=&income=&height=&viewtype=&smoke=nil&cmdSearch=Go+Fishing&heightb=&starsign=&country=1&MinAge=22&iama=m&religion=&searchtype=&City=30309&drugs=&MaxAge=22&seekinga=f&haschildren=&body=&interests=&drink=&miles=10,2009-01-22T00:00:22-05:00
6,base,30309,10,23,f,89,http://www.plentyoffish.com/advancedsearch.aspx?state=&smarts=&wantchildrem=&thnicity=&height=&income=&smoke=nil&viewtype=&heightb=&cmdSearch=Go+Fishing&iama=m&MinAge=23&country=1&starsign=&religion=&seekinga=f&MaxAge=23&drugs=&City=30309&searchtype=&haschildren=&interests=&body=&miles=10&drink=,2009-01-22T00:00:23-05:00
7,base,30309,10,24,f,104,http://www.plentyoffish.com/advancedsearch.aspx?smarts=&state=&thnicity=&wantchildrem=&income=&height=&viewtype=&smoke=nil&cmdSearch=Go+Fishing&heightb=&starsign=&country=1&MinAge=24&iama=m&religion=&searchtype=&City=30309&drugs=&MaxAge=24&seekinga=f&haschildren=&body=&interests=&drink=&miles=10,2009-01-22T00:00:24-05:00
8,base,30309,10,25,f,124,http://www.plentyoffish.com/advancedsearch.aspx?state=&smarts=&wantchildrem=&thnicity=&height=&income=&smoke=nil&viewtype=&heightb=&cmdSearch=Go+Fishing&iama=m&MinAge=25&country=1&starsign=&religion=&seekinga=f&MaxAge=25&drugs=&City=30309&searchtype=&haschildren=&interests=&body=&miles=10&drink=,2009-01-22T00:00:25-05:00
9,base,30309,10,26,f,122,http://www.plentyoffish.com/advancedsearch.aspx?smarts=&state=&thnicity=&wantchildrem=&income=&height=&viewtype=&smoke=nil&cmdSearch=Go+Fishing&heightb=&starsign=&country=1&MinAge=26&iama=m&religion=&searchtype=&City=30309&drugs=&MaxAge=26&seekinga=f&haschildren=&body=&interests=&drink=&miles=10,2009-01-22T00:00:26-05:00
10,base,30309,10,27,f,125,http://www.plentyoffish.com/advancedsearch.aspx?state=&smarts=&wantchildrem=&thnicity=&height=&income=&smoke=nil&viewtype=&heightb=&cmdSearch=Go+Fishing&iama=m&MinAge=27&country=1&starsign=&religion=&seekinga=f&MaxAge=27&drugs=&City=30309&searchtype=&haschildren=&interests=&body=&miles=10&drink=,2009-01-22T00:00:27-05:00
