"age","male","female"
"18","155","98"
"19","259","158"
"20","359","169"
"21","335","205"
"22","425","226"
"23","501","297"
"24","517","282"
"25","553","306"
"26","540","299"
"27","506","308"
"28","515","278"
"29","468","277"
"30","424","229"
"31","378","237"
"32","354","174"
"33","333","195"
"34","292","189"
"35","287","177"
"36","284","167"
"37","241","195"
"38","267","188"
"39","231","172"
"40","189","144"
"41","191","123"
"42","177","141"
"43","189","151"
"44","171","152"
"45","163","126"
"46","148","117"
"47","137","148"
"48","164","139"
"49","111","130"
"50","119","100"
"51","98","86"
"52","107","82"
"53","74","93"
"54","81","56"
"55","80","61"
"56","56","49"
"57","39","40"
"58","38","34"
"59","25","20"
"60","34","19"
"61","20","19"
"62","24","10"
"63","8","8"
"64","4","9"
"65","5","6"
