age,scrape_id,zipcode,gender,normalized_result
18,1,30309,f,0.06918238993710692
19,1,30309,f,0.2578616352201258
20,1,30309,f,0.2578616352201258
21,1,30309,f,0.4716981132075472
22,1,30309,f,0.5220125786163522
23,1,30309,f,0.5471698113207547
24,1,30309,f,0.6540880503144654
25,1,30309,f,0.7421383647798742
26,1,30309,f,0.7421383647798742
27,1,30309,f,0.779874213836478
28,1,30309,f,1
29,1,30309,f,0.9937106918238994
30,1,30309,f,0.7232704402515723
31,1,30309,f,0.6666666666666666
32,1,30309,f,0.7232704402515723
33,1,30309,f,0.5786163522012578
34,1,30309,f,0.6289308176100629
35,1,30309,f,0.5094339622641509
36,1,30309,f,0.5031446540880503
37,1,30309,f,0.5534591194968553
38,1,30309,f,0.610062893081761
39,1,30309,f,0.5220125786163522
40,1,30309,f,0.5660377358490566
41,1,30309,f,0.44025157232704404
42,1,30309,f,0.3710691823899371
43,1,30309,f,0.4591194968553459
44,1,30309,f,0.4779874213836478
45,1,30309,f,0.4339622641509434
46,1,30309,f,0.3836477987421384
47,1,30309,f,0.33962264150943394
48,1,30309,f,0.3333333333333333
49,1,30309,f,0.42138364779874216
50,1,30309,f,0.32075471698113206
51,1,30309,f,0.2578616352201258
52,1,30309,f,0.3018867924528302
53,1,30309,f,0.2578616352201258
54,1,30309,f,0.22012578616352202
55,1,30309,f,0.20754716981132076
56,1,30309,f,0.20125786163522014
57,1,30309,f,0.15723270440251572
58,1,30309,f,0.22012578616352202
59,1,30309,f,0.18238993710691823
60,1,30309,f,0.11320754716981132
61,1,30309,f,0.11949685534591195
62,1,30309,f,0.0880503144654088
63,1,30309,f,0.018867924528301886
64,1,30309,f,0.06289308176100629
65,1,30309,f,0.0440251572327044
18,1,30309,m,0.06209150326797386
19,1,30309,m,0.17647058823529413
20,1,30309,m,0.21241830065359477
21,1,30309,m,0.4019607843137255
22,1,30309,m,0.5784313725490197
23,1,30309,m,0.6143790849673203
24,1,30309,m,0.7091503267973857
25,1,30309,m,0.6928104575163399
26,1,30309,m,0.7647058823529411
27,1,30309,m,0.9967320261437909
28,1,30309,m,0.954248366013072
29,1,30309,m,1
30,1,30309,m,0.8071895424836601
31,1,30309,m,0.8758169934640523
32,1,30309,m,0.8235294117647058
33,1,30309,m,0.7679738562091504
34,1,30309,m,0.7124183006535948
35,1,30309,m,0.6078431372549019
36,1,30309,m,0.6928104575163399
37,1,30309,m,0.630718954248366
38,1,30309,m,0.6928104575163399
39,1,30309,m,0.5522875816993464
40,1,30309,m,0.45751633986928103
41,1,30309,m,0.45751633986928103
42,1,30309,m,0.39869281045751637
43,1,30309,m,0.35947712418300654
44,1,30309,m,0.30718954248366015
45,1,30309,m,0.3333333333333333
46,1,30309,m,0.3104575163398693
47,1,30309,m,0.24836601307189543
48,1,30309,m,0.3464052287581699
49,1,30309,m,0.25163398692810457
50,1,30309,m,0.17973856209150327
51,1,30309,m,0.19934640522875818
52,1,30309,m,0.16013071895424835
